Wavenumber (cm^{-1}),Spectrum_OrigIdxInItem_1,Spectrum_OrigIdxInItem_2,Spectrum_OrigIdxInItem_3,Spectrum_OrigIdxInItem_4,Spectrum_OrigIdxInItem_5,Spectrum_OrigIdxInItem_6,Spectrum_OrigIdxInItem_7,Spectrum_OrigIdxInItem_8,Spectrum_OrigIdxInItem_9,Spectrum_OrigIdxInItem_10,Spectrum_OrigIdxInItem_11,Spectrum_OrigIdxInItem_12,Spectrum_OrigIdxInItem_13,Spectrum_OrigIdxInItem_14,Spectrum_OrigIdxInItem_15,Spectrum_OrigIdxInItem_16,Spectrum_OrigIdxInItem_17,Spectrum_OrigIdxInItem_18,Spectrum_OrigIdxInItem_19,Spectrum_OrigIdxInItem_20,Spectrum_OrigIdxInItem_21,Spectrum_OrigIdxInItem_22,Spectrum_OrigIdxInItem_23,Spectrum_OrigIdxInItem_24,Spectrum_OrigIdxInItem_25,Spectrum_OrigIdxInItem_26,Spectrum_OrigIdxInItem_27,Spectrum_OrigIdxInItem_28,Spectrum_OrigIdxInItem_29,Spectrum_OrigIdxInItem_30,Spectrum_OrigIdxInItem_31,Spectrum_OrigIdxInItem_32,Spectrum_OrigIdxInItem_33,Spectrum_OrigIdxInItem_34,Spectrum_OrigIdxInItem_35,Spectrum_OrigIdxInItem_36,Spectrum_OrigIdxInItem_37,Spectrum_OrigIdxInItem_38,Spectrum_OrigIdxInItem_39,Spectrum_OrigIdxInItem_40,Spectrum_OrigIdxInItem_41,Spectrum_OrigIdxInItem_42,Spectrum_OrigIdxInItem_43,Spectrum_OrigIdxInItem_44,Spectrum_OrigIdxInItem_45,Spectrum_OrigIdxInItem_46,Spectrum_OrigIdxInItem_47,Spectrum_OrigIdxInItem_48,Spectrum_OrigIdxInItem_49,Spectrum_OrigIdxInItem_50,Spectrum_OrigIdxInItem_51,Spectrum_OrigIdxInItem_52,Spectrum_OrigIdxInItem_53,Spectrum_OrigIdxInItem_54,Spectrum_OrigIdxInItem_55,Spectrum_OrigIdxInItem_56,Spectrum_OrigIdxInItem_57,Spectrum_OrigIdxInItem_58,Spectrum_OrigIdxInItem_59,Spectrum_OrigIdxInItem_60,Spectrum_OrigIdxInItem_61,Spectrum_OrigIdxInItem_62,Spectrum_OrigIdxInItem_63,Spectrum_OrigIdxInItem_64,Spectrum_OrigIdxInItem_65,Spectrum_OrigIdxInItem_66,Spectrum_OrigIdxInItem_67,Spectrum_OrigIdxInItem_68,Spectrum_OrigIdxInItem_69,Spectrum_OrigIdxInItem_71,Spectrum_OrigIdxInItem_72,Spectrum_OrigIdxInItem_73,Spectrum_OrigIdxInItem_74,Spectrum_OrigIdxInItem_75,Spectrum_OrigIdxInItem_76,Spectrum_OrigIdxInItem_77,Spectrum_OrigIdxInItem_78,Spectrum_OrigIdxInItem_79,Spectrum_OrigIdxInItem_80,Spectrum_OrigIdxInItem_81,Spectrum_OrigIdxInItem_85,Spectrum_OrigIdxInItem_86,Spectrum_OrigIdxInItem_87,Spectrum_OrigIdxInItem_88,Spectrum_OrigIdxInItem_89,Spectrum_OrigIdxInItem_90,Spectrum_OrigIdxInItem_91,Spectrum_OrigIdxInItem_92,Spectrum_OrigIdxInItem_93,Spectrum_OrigIdxInItem_94,Spectrum_OrigIdxInItem_95,Spectrum_OrigIdxInItem_96,Spectrum_OrigIdxInItem_97,Spectrum_OrigIdxInItem_98,Spectrum_OrigIdxInItem_99,Spectrum_OrigIdxInItem_100,Spectrum_OrigIdxInItem_101,Spectrum_OrigIdxInItem_103,Spectrum_OrigIdxInItem_104,Spectrum_OrigIdxInItem_105,Spectrum_OrigIdxInItem_106,Spectrum_OrigIdxInItem_107,Spectrum_OrigIdxInItem_109,Spectrum_OrigIdxInItem_110,Spectrum_OrigIdxInItem_111,Spectrum_OrigIdxInItem_112,Spectrum_OrigIdxInItem_113,Spectrum_OrigIdxInItem_114,Spectrum_OrigIdxInItem_115,Spectrum_OrigIdxInItem_116,Spectrum_OrigIdxInItem_117,Spectrum_OrigIdxInItem_118,Spectrum_OrigIdxInItem_119,Spectrum_OrigIdxInItem_120,Spectrum_OrigIdxInItem_121
380.958441887711,0,0,0,0,0,0.00380422560959681,0,0,0,0,0.00356412930570079,0,0,0,0,0,0,0.000100525948003193,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00150811125302688,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.43482755591537e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00239749193441651,0,0,0,0,0,0.00321070765542449,0,0,0,0,0,0,0,0.00120468253377823,0,0,0,0,0.00230804232964462,0,0.0104218159537881,0,0,0,0,0,0,0,0,0,0,0
384.515243875205,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00946263768565405,0.00878405758439243,0.00130681733061042,0.000307855634243869,0,0,0.00165934327115079,0.0116994599511685,0,0.00246518685621082,0,0.00384168709746539,0,0.00428292204575326,0,0,0.00670865217988534,0,0,0,0,0,0,0,0,0,0.00157467448168838,0,0.00428767745130837,0,0.00152308695284622,0,0,0,0,0,0,0,0.00258626001970221,0.00184360518118589,0,0,0,0,0,0,0,0,0,0,0,0,0.000699552635044995,0,0.00478905955878361,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00393856716178735,0,0,0,0,0,0,0,0.00132743015739249,0.012934843198493,0,0,0,0.000716992058597658,0.0103137381114436,0.00114995673714958,0,0,0,0,0.000447804977337462,0,0,0,0,0,0,0,0,0,0.000729850104386838
388.069349005981,0.00717992747911275,0.0151013235880858,0.01197892098794,0.0202441447770458,0.0125112674770603,0.000488392036216973,0.0135213472515699,0.00539676638395558,0.00680296376628024,0.0163028999732963,0.0129312117548282,0.0087830784168747,3.73770650093831e-06,0,0.0168721362457188,0.0100543415828455,0.00819177157666724,0.0105505858459251,0.00845893240637671,0.00174303635579705,0.0189982727784008,0.0130820775616665,0.0186525094919977,0.00564782965891248,0.00481055882467547,0.0212368454661066,0.00624956036502611,0.00380956499684227,0,0.0121677371633546,0.00797514326497162,0.0126709089148178,0,0.0119304145133075,0.0185747767702609,0.00851301488544904,0.0102075405532477,0.00627482754838254,0.0111954934638678,0.0168799621243904,0.0221622345342488,0.0126820506186964,0.00116852735173241,0,0.0191306123181162,0.00676627177575566,0.00629214547315606,0.0101544327447072,0,0.00856396002157226,0.0137136074914306,0.00775106134601118,0.00886898019517272,0.00847790100847295,0.00189421529832932,0.00745284691852019,0.00844314628249892,0.0104314823721447,0.00590102036634747,0.00857062602771,0.00029274781166539,0.00770722482713452,0.00399423587212305,0.0107371031491618,0.0114503600612716,0.0123722579116891,0,0,0,0.011346861864604,0.0107815427530514,0.00378312523122927,0.00279299514861558,0.0126222516785247,0.0110511260556305,0.00474482873035086,0.0181000527669656,0.00977607404233563,0.0159777646220696,0.0188419652659049,0.00949720875154859,0.007268098443544,0.022337847857451,0.00642521184939091,0,0.0110263482976872,0,0.00543450475789231,0.00170206286829564,0.0111286092162679,0.00385660712970444,0.0105225359726693,0.00306451808526112,0.00594752020645728,0.000218411612369537,0.0123422520344565,0.012430276485382,0.0117684963814199,0.00687990820796141,0,0.0113738851193719,0.00113211337794298,0.00755261913365302,0.018701346083851,0.00225832407414371,0.00710019284853183,0.00619861681385276,0.000703723834690289,0.0125453541419002,0.00886974976198144,0.0188158797605252,0.0160383999526106,0.0044280429135177,0.0143640452477978,0.00945841731545206
391.620760167868,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
395.169480244544,0,0.0071869415737815,0,0,0,0,0.00793785901630187,0.0066642304411,0,0,0.000809662098260087,0,0,0,0,0.00214121373483428,0,0,0,0,0,0,0,0,0.00765617785046181,0,0,0,0,0,0.000254903891403897,0,0,0.00285174432556726,0,0,0,0.00734480908392381,0,0.000399435549353405,0,0,0,8.74462413820496e-05,0.00136030304760333,0.00261169127573833,0,0,0,7.85607862841731e-06,0.00402680241177617,0,0,0,0.00364011944326192,0,9.61996473993757e-05,0.00429153289604606,0.00694590822397401,0.0041755871664213,0.0107693680352796,0,0.0021102000059162,0,0,0,0,0,0,0,0.00447150202712246,0,0,0.000467527328139675,0,0,0,0,0,0,0,0.00236433832672531,0,0.00649965039060751,0,0,0.00237537988280972,0.0066109822559698,0,0,0,0,0,0,0.0021485219816292,0,0,0.00412210513795331,0,0.00136594996905058,0,0,0.0056025487529476,0.00719793337822342,0,0,0,0.00305478464212693,0.00217063083720845,0,0,0,0,0,0.00751462423955816
398.715512115511,0.0480957785731406,0.0440999374389803,0.0495663883816785,0.0463394884617296,0.049938489503173,0.0415030785422395,0.0465335484907158,0.0481134060993345,0.0408935030089362,0.046510795505334,0.0498424499784097,0.0493913861361955,0.0495847890318477,0.0622586984811326,0.0537761405934307,0.0584334288962054,0.0593478078107408,0.0496222861460324,0.0535478994003377,0.0501609895595325,0.0475687465881249,0.0412545040346877,0.0427406710724936,0.0489902146241388,0.0513608250181437,0.0530993959375823,0.0585460290032591,0.0443988478351214,0.0519015396825599,0.0559734947348542,0.0442344620672305,0.0567355149737344,0.0392648081831433,0.051675905644341,0.0617998863208417,0.0489032705388347,0.0415569386669557,0.0369783303421067,0.0583435026271394,0.0525049714367995,0.0647249659660323,0.0493125086168108,0.0577281101973272,0.0463842463301537,0.0515633978140051,0.0543149146449539,0.0477913180713706,0.0571182996491255,0.0536247732243251,0.0445385725219951,0.046499477023429,0.0526552863840419,0.0569808895729752,0.0477766085050313,0.0424025781272305,0.0586220104702993,0.0507341258585079,0.042028841674404,0.0424413800259656,0.0422499758849137,0.0632989245367747,0.0495727924599484,0.055283133218984,0.0555224517152748,0.0574400217565952,0.0486144081498844,0.0465780517788338,0.0456232035637436,0.0417262232670974,0.0581468112547638,0.0393174050400631,0.0498468478624607,0.0494564369755311,0.0498039748826995,0.0523122516107207,0.0482221090220344,0.0486000184719036,0.0511699022752941,0.0391872087941408,0.0417999564359072,0.0464960663407272,0.0396419487217166,0.0496694333657976,0.0431372097230875,0.0523594684455412,0.0554197511277281,0.0523682985300139,0.050252366987749,0.0472355667149717,0.06096719794783,0.0525671785752439,0.045171435869932,0.0459483145388066,0.0456874663205643,0.051802096113748,0.0446311535469374,0.0570966585029495,0.0499717167614372,0.0406502092417138,0.0549732664799341,0.0463049349502257,0.0475048070635059,0.0438044204166459,0.0564936177920873,0.0407602919262601,0.0427662808316383,0.041478571827269,0.0609112480485845,0.052928835651482,0.0509659172815877,0.0425722042819707,0.0591921272964702,0.0431723910149977,0.0464655584494461,0.0530149925560105
402.258858656118,0.00614279610223983,0.00951870208960608,0.020589765647697,0.00819533001957075,0.00820058476137632,0.00575879499653706,0.00506742115897599,0.00269758513704535,0.0154237651725213,0.000385866137981198,0.0116592809636934,0.00799080759729885,0,0.00601406296199112,0.00891528055562555,0.00609919517850162,0.00376168254620089,0.00629501779623917,0.00950818494273914,0.000287825571957974,0.000627717516020445,0,0.00233274110787801,0,0.0068749353954747,0.0149934801007564,0,0.0147635764493541,0.00826827579899846,0.00617044836465395,0.00592452798391056,0.00632276794097066,0,0.0126005430034571,0.0102389506219562,0,1.08209732576529e-05,0.000556247995142666,0.0237242078386341,0,0.014041420379892,0.0200979128286633,0.0125260612570738,0,0.0142145827484186,0,0.0145328358007545,0.000984413640854997,0.00712100665492036,0,0.00961008817809326,0,0.00537323348641235,0.00107706046763538,0.00178821450140605,0,0.00971778958367331,0,0.000743876038126538,0.0116023869484329,0.0104723185517154,0.0151604882146787,0.007796727270629,0.00570387210504704,0.000439717586137973,0.00693749392926421,0.00557706655641253,0.00235664853181793,0.0162763474004952,0.00401055895053222,0.00616956551061335,0.00193484084823805,0.0105971625738801,0.00488595368073372,0.00838853297555077,0.00975078096497939,0.00580233420080252,0.0116678165068245,0.00550665834352809,0.00830808083588205,0.012681328730314,0.00564884411653337,0.00375796996618229,0.0116820312259771,0,0.00979302610235478,0.00337065103424439,0.0140700683714322,0.00406606980459624,0.0190011039530864,0.0107628655267304,0.00961537506423521,0.00562822746281483,0.00110349472214616,0.00780253921827984,0.0115001199778928,0.00141799901507189,0,0.00758044222248472,0.00135475413363464,0.00404554584015829,0.00489902816579275,0.00592295519698179,0.000928825369994695,0,0.0138679590137095,0.0131370454114557,0.00996057045399524,0.00898930041907356,0.00197258408755171,0.0147650048349218,0.000413610380790489,0.00472928582635274,0.0019977120692326,0.000183428854138174
405.799522737568,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
409.337507226919,0.00770402355564093,0,0.00996137737518854,0.0126826863514431,0.000285090202042215,0.00791028974296591,0.000370477903984429,0.00030852037055225,0.000207818775364438,0.0105420636107887,0,0.0102848965171799,0.00555182141093868,0,0.00268796299893344,0.00633031553414448,0.00398960561476774,0.00715301485146189,0.000589211112800097,0.00367113444865994,0.00472991013163885,0,0.0141934829589894,0.00256460574583256,0.00421952903443797,0,0.00215983855624903,0.010420577681493,0.00722039819406127,0.00122940535194991,0.0114712846450093,0.00735647869162385,0.00138401285837862,0.00384822976078659,0,0.00141600939352096,0.00449613255164487,0,0.0119902404653634,0,0.0147901878533681,0.000609340766278836,0.00748699227938473,0,0.000333194970836781,0.0102274730244204,0.00540808920570542,0.00063494323964007,0.00615348805513592,0,0.00382344533276145,0.00116347204744866,0.00749334752558469,0.00662309823292659,0.0142939368072504,0.00418654082386884,0.00521161544901715,0.00364740042574016,0.00807050105390582,0.000389248961287839,0.00650337067822917,0,0.00862444325681871,0.000633214263184104,0.0144621980655292,0.0095212555357357,0.00235235117969978,0.0136613943389145,0.00474083466695727,0,0.00484020649282274,0.00111799548772533,0,0.000831988990468675,0,0,0,0,0.00449771905596939,0.00665842282964006,0.000261178993824845,0,0,0.000450007319695311,0.00703769188779546,0.00574937225638654,0.00136873208699229,0.000438772304249052,0.00448987926188076,0.00038361125445554,0.00874257552337555,0.00159700214735436,0.0105132589429389,0,0.00451542227496168,0.0111821126560613,0,0.000674728390602012,0.00685640487848896,0.00471625262779629,0,0.0027659677265549,0.00252666410193245,0.00525581808547689,0.002950069450915,0.0111929949973344,0,0.0015384117602104,0.0162626507816079,0,0.00432837751688669,0.00112678995343546,0.00675894888378684,0.00212798239052753,0.006190133613783
412.872814987094,0.0138214015651342,0.00759323131188463,0.010383466729086,0.0113111220269267,0.0129949942143569,0.0118647948643479,0.0121658268023978,0.0143910498578499,0.00932476214354903,0.0166998460304627,0.0020098275448474,0.0205951083428522,0.0107668960289221,0.0132518780277682,0.00835742759623344,0.0156981526461757,0.00785234991907886,0.0167579909826525,0.0195123809374567,0.0104770066693585,0.000711294344581214,0.00777801275591403,0.010118769625576,0.0106162094860354,0.0139391440090719,0.0108716529145216,0.0162578887431508,0.020966545386043,0.0133135425153657,0.00339193131928714,0,0.0213036065309005,0.0100143983420759,0.0180910550034999,0.00863307979418021,0.0220723482245763,0.00965357329652218,0.0160142152768309,0.00874955319992587,0.0254989361625924,0.00865778433302721,0.0184917028295276,0.0160433599670321,0.00316399703279803,0.00428619297498299,0.0175836432467079,0.0167682729350603,0.00630954767880117,0.00889273160773549,0.0191883508630297,0.0124294692965119,0.0153728231447135,0.0125621249370648,0.00935021444272224,0.011234840769551,0.00807159837326653,0.0113753561935883,0.0118193301967388,0.0137654648124277,0.00250190932484509,0.0086156799641385,0.0182072511304466,0.0237906935639889,0.00988399371772557,0.0095446118580643,0.0122111091980532,0.00616391445166362,0.0151392339746637,0.0121774946086223,0.00827744939661788,0.0070341517067823,0.0151349312513527,0.0175959798401993,0.00710798317235934,0.0101011007273199,0.00816807726670875,0.0145780057089907,0.00982949445406224,0.0195297796297962,0.0192243662683711,0.00302162137942807,0.0103473922701159,0.0137077852423577,0.00903910045498845,0.00636914636718898,0.00722159671965047,0.0155697545683618,0.0119239032127301,0.00494413286115042,0.0168478854079521,0.015032098950133,0.0143721281682238,0.0178612318795411,0.00475602534924688,0.0132870548257743,0.00286719952338771,0.01321678756642,0.0225615555767289,0.00615256105129549,0.0191681074059036,0.0251533119956583,0.0113869040025147,0.0160528451135792,0.00737280199710125,0.0027574732840434,0.0203826126505632,0.00993570551517911,0.0189199972123184,0.0155244532672554,0.0160589290600615,0.0064140501942883,0.00608107104534174,0.0124450257670332,0.0236992806422355,0.0117819022546219
