Wavenumber (cm^{-1}),Spectrum_OrigIdxInItem_92,Spectrum_OrigIdxInItem_88,Spectrum_OrigIdxInItem_121,Spectrum_OrigIdxInItem_22,Spectrum_OrigIdxInItem_63,Spectrum_OrigIdxInItem_75,Spectrum_OrigIdxInItem_112,Spectrum_OrigIdxInItem_16,Spectrum_OrigIdxInItem_98,Spectrum_OrigIdxInItem_54,Spectrum_OrigIdxInItem_108
380.958441887711,0.01739142850943,0.0,0.0158902740234476,0.0294490683052379,0.013313003383156,0.0130167660573488,0.0184868700675672,0.0226410692242605,0.0093571938513341,0.0137126674793072,0.0084404462250902
384.515243875205,0.0345653891563214,0.0,0.007619520028365,0.0421200832201095,0.0118204916832376,0.020423211891988,0.0223154643438576,0.0148529564532498,0.0058496318602026,0.019861369188908,0.0174399422738049
388.069349005981,0.014939362370073,0.0217032663337995,0.0138757771886011,0.0254638512616275,0.01804581311798,0.0256235848617061,0.0170321422990649,0.0298498129202406,0.0098604127398073,0.0246428648347705,0.0053191380303171
391.620760167868,0.0,0.0003621445742089,0.0038833117065451,0.0141979740109292,0.0,0.0061809620148407,0.0,0.0,0.0,0.0032455265395098,0.0
395.169480244544,0.0,0.0,0.0,0.0059790169341056,0.0,0.0,0.0,0.0018844585705972,0.0,0.0013051691437457,0.0
398.715512115511,0.0043957595151461,0.0083221142855303,0.0187470921923209,0.0309862283047304,0.0089644943114191,0.0190578406117427,0.0144694417534597,0.0,0.0104900154202773,0.0157209588056284,0.0165415591631107
402.258858656118,0.0,0.0,0.005133113447249,0.0,0.0,0.0047604413754434,0.0,0.0056325289090013,0.0,0.0059515905514368,0.0004261441450393
405.799522737568,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
409.337507226919,0.0,0.0,0.0027734639636232,0.0,0.0007876781739757,0.0063634952033252,0.0,0.0051661735401853,0.0,0.0,0.0
412.872814987094,0.0067863557741631,0.0067251927450854,0.0194351614801251,0.0098651924550515,0.0,0.0002621960580927,0.0,0.0063471060691602,0.0034284781863656,0.0174044292719177,0.0117899705300617
416.405448876898,0.0117893141534967,0.0189827229775925,0.0183925862608742,0.0,0.0069069047990939,0.015264918845754,0.0101487168432049,0.0063618265563874,0.0147488979080615,0.0192279047755586,0.0185921444752318
419.93541175101,0.009609198895789,0.0,0.0,0.0034542908525944,0.0092842373521152,0.0,0.0068636688296431,0.0086001857193259,0.0052284500849075,0.0130388945327352,0.0033042555419155
423.462706459995,0.0175405959001631,0.0012188437081159,0.0168469483889994,0.0,0.0216334183457242,0.0068489521019988,0.015507400844642,0.0128363664848239,0.0105730916051031,0.014124145204551,0.0119897944349356
426.987335850322,0.0,0.001894610012446,0.0,0.0,0.0056683090028534,0.0030364629425648,0.0,0.0,0.0,0.0036521946013001,0.0
430.50930276436,0.0013185524069835,0.0012854709998464,0.0104064222258371,0.000438303774058,0.0241987591027869,0.0146647342985756,0.0124223788948946,0.0099019776306698,0.0226029519754724,0.0126402427398559,0.0140033940821098
434.028610040384,0.0071827130499414,0.0062829195992046,0.0106797949733005,0.0039188470260174,0.0039048184594503,0.0142847730346579,0.0112898620369023,0.0049913877086059,0.0127613699468013,0.0,0.0146048637708403
437.545260512592,0.0024844372059975,0.0133369995376746,0.009053860374361,0.0,0.0105998232793112,0.0090856406095905,0.0081601229672759,0.0106667499743667,0.0,0.0,0.0166333564040297
441.059257011108,0.0,0.0,0.0,0.0087452569360154,0.0,0.0,0.0090884711500589,0.0,0.0080899359655755,0.0,0.0
444.570602361988,0.0071238853925073,0.0050057518359112,0.0092548526885681,0.0,0.0146202392333088,0.014511760353759,0.0,0.0076741714031524,0.0044866805463913,0.0,0.0096977803889971
448.079299387222,0.0275945282005642,0.0211542083855378,0.0069226666499307,0.013754147166613,0.0011851798829165,0.0292764937095794,0.0,0.0155038616834274,0.0204429713649019,0.0023149794559407,0.0174627153739706
451.585350904754,0.0013216536960037,0.0019786908610281,0.0197448961765827,0.0056677799465708,0.0207463329623299,0.0132978146203248,0.0044331695608058,0.0183267848023563,0.0092328765636279,0.0119737565126649,0.0060470163258652
